Sr No	Gene ID	Specie	Gene name	Gene Description
S000003837	YJR076C	S. cerevisiae	CDC11	Cell Division Cycle
S000003838	YJR077C	S. cerevisiae	MIR1	Mitochondrial Import Receptor
S000003839	YJR078W	S. cerevisiae	BNA2	Biosynthesis of Nicotinic Acid
S000003841	YJR080C	S. cerevisiae	AIM24	Altered Inheritance rate of Mitochondria
S000003842	YJR082C	S. cerevisiae	EAF6	Esa1p-Associated Factor
S000003844	YJR084W	S. cerevisiae		
S000003845	YJR085C	S. cerevisiae	TMH11	TMem14 Homolog of 11 kDa
S000003846	YJR086W	S. cerevisiae	STE18	STErile
S000003848	YJR088C	S. cerevisiae	EMC2	ER Membrane protein Complex
S000003850	YJR090C	S. cerevisiae	GRR1	Glucose Repression-Resistant
S000003851	YJR091C	S. cerevisiae	JSN1	Just Say No
S000003855	YJR094W-A	S. cerevisiae	RPL43B	Ribosomal Protein of the Large subunit
S000003856	YJR095W	S. cerevisiae	SFC1	Succinate-Fumarate Carrier
S000003857	YJR096W	S. cerevisiae		
S000003859	YJR098C	S. cerevisiae		
S000003860	YJR099W	S. cerevisiae	YUH1	Yeast Ubiquitin Hydrolase
S000003861	YJR100C	S. cerevisiae	AIM25	Altered Inheritance of Mitochondria
S000003862	YJR101W	S. cerevisiae	RSM26	Ribosomal Small subunit of Mitochondria
S000003863	YJR102C	S. cerevisiae	VPS25	Vacuolar Protein Sorting
S000003864	YJR103W	S. cerevisiae	URA8	URAcil requiring
S000003865	YJR104C	S. cerevisiae	SOD1	SuperOxide Dismutase
S000003866	YJR105W	S. cerevisiae	ADO1	ADenOsine kinase
S000003867	YJR106W	S. cerevisiae	ECM27	ExtraCellular Mutant
S000003868	YJR107W	S. cerevisiae	LIH1	LIpase Homolog
S000003870	YJR109C	S. cerevisiae	CPA2	Carbamyl Phosphate synthetase A
S000003871	YJR110W	S. cerevisiae	YMR1	Yeast Myotubularin Related
S000003873	YJR112W	S. cerevisiae	NNF1	Necessary for Nuclear Function
S000003874	YJR113C	S. cerevisiae	RSM7	Ribosomal Small subunit of Mitochondria
S000003876	YJR115W	S. cerevisiae		
S000003877	YJR116W	S. cerevisiae	TDA4	Topoisomerase I Damage Affected
S000003878	YJR117W	S. cerevisiae	STE24	STErile
S000003879	YJR118C	S. cerevisiae	ILM1	Increased Loss of Mitochondrial DNA
S000003880	YJR119C	S. cerevisiae	JHD2	JmjC domain-containing Histone Demethylase
S000003882	YJR121W	S. cerevisiae	ATP2	ATP synthase
S000003883	YJR122W	S. cerevisiae	IBA57	Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins
S000003884	YJR123W	S. cerevisiae	RPS5	Ribosomal Protein of the Small subunit
S000003885	YJR124C	S. cerevisiae		
S000003886	YJR125C	S. cerevisiae	ENT3	Epsin N-Terminal homology
S000003887	YJR126C	S. cerevisiae	VPS70	Vacuolar Protein Sorting
S000003888	YJR127C	S. cerevisiae	RSF2	ReSpiration Factor
S000003890	YJR129C	S. cerevisiae	EFM3	Elongation Factor Methyltransferase
S000003891	YJR130C	S. cerevisiae	STR2	Sulfur TRansfer
S000003892	YJR131W	S. cerevisiae	MNS1	
S000003893	YJR132W	S. cerevisiae	NMD5	Nonsense-Mediated mRNA Decay
S000003894	YJR133W	S. cerevisiae	XPT1	Xanthine Phosphoribosyl Transferase
S000003895	YJR134C	S. cerevisiae	SGM1	Slow growth on Galactose and Mannose
S000003898	YJR137C	S. cerevisiae	MET5	METhionine requiring
S000003899	YJR138W	S. cerevisiae	IML1	Increased Minichromosome Loss
S000003900	YJR139C	S. cerevisiae	HOM6	HOMoserine requiring
S000003901	YJR140C	S. cerevisiae	HIR3	HIstone Regulation
S000003902	YJR141W	S. cerevisiae	IPA1	Important for cleavage and PolyAdenylation
S000003903	YJR142W	S. cerevisiae		
S000003904	YJR143C	S. cerevisiae	PMT4	Protein O-MannosylTransferase
S000003905	YJR144W	S. cerevisiae	MGM101	Mitochondrial Genome Maintenance
S000003906	YJR145C	S. cerevisiae	RPS4A	Ribosomal Protein of the Small subunit
S000003909	YJR148W	S. cerevisiae	BAT2	Branched-chain Amino acid Transaminase
S000003910	YJR149W	S. cerevisiae		
S000003913	YJR152W	S. cerevisiae	DAL5	Degradation of Allantoin
S000003916	YJR155W	S. cerevisiae	AAD10	Aryl-Alcohol Dehydrogenase
S000003919	YJR158W	S. cerevisiae	HXT16	HeXose Transporter
S000003920	YJR159W	S. cerevisiae	SOR1	
S000003921	YJR160C	S. cerevisiae	MPH3	Maltose Permease Homolog
S000003924	YLL001W	S. cerevisiae	DNM1	DyNaMin-related
S000003925	YLL002W	S. cerevisiae	RTT109	Regulator of Ty1 Transposition
S000003927	YLL004W	S. cerevisiae	ORC3	Origin Recognition Complex
S000003928	YLL005C	S. cerevisiae	SPO75	SPOrulation
S000003929	YLL006W	S. cerevisiae	MMM1	Maintenance of Mitochondrial Morphology
S000003930	YLL007C	S. cerevisiae	LMO1	eLMO homolog
S000003931	YLL008W	S. cerevisiae	DRS1	Deficiency of Ribosomal Subunits
S000003932	YLL009C	S. cerevisiae	COX17	Cytochrome c OXidase
S000003933	YLL010C	S. cerevisiae	PSR1	Plasma membrane Sodium Response
S000003934	YLL011W	S. cerevisiae	SOF1	Suppressor Of Fibrillarin
S000003935	YLL012W	S. cerevisiae	YEH1	Yeast steryl Ester Hydrolase
S000003936	YLL013C	S. cerevisiae	PUF3	PUmilio-homology domain Family
S000003937	YLL014W	S. cerevisiae	EMC6	ER Membrane protein Complex
S000003938	YLL015W	S. cerevisiae	BPT1	Bile Pigment Transporter
S000003941	YLL018C	S. cerevisiae	DPS1	
S000003942	YLL019C	S. cerevisiae	KNS1	Kinase Next to SPA2
S000003946	YLL023C	S. cerevisiae	POM33	POre Membrane, 33 kDa
S000003947	YLL024C	S. cerevisiae	SSA2	Stress-Seventy subfamily A
S000003949	YLL026W	S. cerevisiae	HSP104	Heat Shock Protein
S000003950	YLL027W	S. cerevisiae	ISA1	Iron Sulfur Assembly
S000003951	YLL028W	S. cerevisiae	TPO1	Transporter of POlyamines
S000003952	YLL029W	S. cerevisiae	FRA1	Fe Repressor of Activation
S000003954	YLL031C	S. cerevisiae	GPI13	GlycosylPhosphatidylInositol anchor biosynthesis
S000003955	YLL032C	S. cerevisiae		
S000003957	YLL034C	S. cerevisiae	RIX7	RIbosome eXport
S000003958	YLL035W	S. cerevisiae	GRC3	
S000003959	YLL036C	S. cerevisiae	PRP19	Pre-RNA Processing
S000003961	YLL038C	S. cerevisiae	ENT4	Epsin N-Terminal homology
S000003962	YLL039C	S. cerevisiae	UBI4	Ubiquitin
S000003963	YLL040C	S. cerevisiae	VPS13	Vacuolar Protein Sorting
S000003964	YLL041C	S. cerevisiae	SDH2	Succinate DeHydrogenase
S000003966	YLL043W	S. cerevisiae	FPS1	fdp1 Suppressor
S000003968	YLL045C	S. cerevisiae	RPL8B	Ribosomal Protein of the Large subunit
S000003969	YLL046C	S. cerevisiae	RNP1	RiboNucleoProtein
S000003971	YLL048C	S. cerevisiae	YBT1	Yeast Bile Transporter
S000003973	YLL050C	S. cerevisiae	COF1	COFilin
S000003974	YLL051C	S. cerevisiae	FRE6	Ferric REductase
S000003975	YLL052C	S. cerevisiae	AQY2	AQuaporin from Yeast
S000003976	YLL053C	S. cerevisiae		
S000003978	YLL055W	S. cerevisiae	YCT1	Yeast Cysteine Transporter
S000003979	YLL056C	S. cerevisiae		
S000003980	YLL057C	S. cerevisiae	JLP1	dnaJ-Like Protein
S000003981	YLL058W	S. cerevisiae	HSU1	Hydrogen Sulfide Utilising-1
S000003983	YLL060C	S. cerevisiae	GTT2	GlutaThione Transferase
S000003984	YLL061W	S. cerevisiae	MMP1	S-MethylMethionine Permease
S000003985	YLL062C	S. cerevisiae	MHT1	S-Methylmethionine-Homocysteine methylTransferase
S000003986	YLL063C	S. cerevisiae	AYT1	AcetYlTransferase
S000003991	YLR001C	S. cerevisiae		
S000003992	YLR002C	S. cerevisiae	NOC3	NucleOlar Complex associated
S000003993	YLR003C	S. cerevisiae	CMS1	Complementation of Mcm-10 Suppressor
S000003994	YLR004C	S. cerevisiae	THI73	THIamine regulon
S000003995	YLR005W	S. cerevisiae	SSL1	Suppressor of Stem-Loop mutation
S000003996	YLR006C	S. cerevisiae	SSK1	Suppressor of Sensor Kinase
S000003998	YLR008C	S. cerevisiae	PAM18	Presequence translocase-Associated Motor
S000003999	YLR009W	S. cerevisiae	RLP24	Ribosomal-Like Protein
S000004004	YLR014C	S. cerevisiae	PPR1	Pyrimidine Pathway Regulation
S000004005	YLR015W	S. cerevisiae	BRE2	BREfeldin A sensitivity
S000004006	YLR016C	S. cerevisiae	PML1	Pre-mRNA Leakage
S000004007	YLR017W	S. cerevisiae	MEU1	Multicopy Enhancer of UAS2
S000004008	YLR018C	S. cerevisiae	POM34	POre Membrane
S000004009	YLR019W	S. cerevisiae	PSR2	Plasma membrane Sodium Response
S000004010	YLR020C	S. cerevisiae	YEH2	Yeast steryl Ester Hydrolase
S000004012	YLR022C	S. cerevisiae	SDO1	
S000004013	YLR023C	S. cerevisiae	IZH3	Implicated in Zinc Homeostasis
S000004014	YLR024C	S. cerevisiae	UBR2	
S000004015	YLR025W	S. cerevisiae	SNF7	Sucrose NonFermenting
S000004016	YLR026C	S. cerevisiae	SED5	Suppressor of Erd2 Deletion
S000004017	YLR027C	S. cerevisiae	AAT2	Aspartate AminoTransferase
S000004018	YLR028C	S. cerevisiae	ADE16	ADEnine
S000004019	YLR029C	S. cerevisiae	RPL15A	Ribosomal Protein of the Large subunit
S000004022	YLR032W	S. cerevisiae	RAD5	RADiation sensitive
S000004023	YLR033W	S. cerevisiae	RSC58	Remodel the Structure of Chromatin
S000004024	YLR034C	S. cerevisiae	SMF3	
S000004025	YLR035C	S. cerevisiae	MLH2	MutL Homolog
S000004028	YLR038C	S. cerevisiae	COX12	Cytochrome c OXidase
S000004033	YLR043C	S. cerevisiae	TRX1	ThioRedoXin
S000004034	YLR044C	S. cerevisiae	PDC1	Pyruvate DeCarboxylase
S000004035	YLR045C	S. cerevisiae	STU2	Suppressor of TUbulin
S000004036	YLR046C	S. cerevisiae		
S000004037	YLR047C	S. cerevisiae	FRE8	
S000004038	YLR048W	S. cerevisiae	RPS0B	Ribosomal Protein of the Small subunit
S000004040	YLR050C	S. cerevisiae	EMA19	Efficient Mitochondria targeting-Associated protein
S000004041	YLR051C	S. cerevisiae	FCF2	Faf1p Copurifying Factor
S000004044	YLR054C	S. cerevisiae	OSW2	Outer Spore Wall
S000004045	YLR055C	S. cerevisiae	SPT8	SuPpressor of Ty
S000004046	YLR056W	S. cerevisiae	ERG3	ERGosterol biosynthesis
S000004047	YLR057W	S. cerevisiae	MNL2	MaNnosidase-Like protein
S000004048	YLR058C	S. cerevisiae	SHM2	Serine HydroxyMethyltransferase
S000004049	YLR059C	S. cerevisiae	REX2	Rna EXonuclease
S000004050	YLR060W	S. cerevisiae	FRS1	phenylalanyl (F)-tRNA Synthetase
S000004051	YLR061W	S. cerevisiae	RPL22A	Ribosomal Protein of the Large subunit
S000004053	YLR063W	S. cerevisiae	BMT6	Base Methyltransferase of Twenty five S rRNA 6
S000004054	YLR064W	S. cerevisiae	PER33	Pore and ER protein, 33 kDa
S000004055	YLR065C	S. cerevisiae	SND2	SRP-iNDependent targeting
S000004056	YLR066W	S. cerevisiae	SPC3	Signal Peptidase Complex
S000004058	YLR068W	S. cerevisiae	FYV7	Function required for Yeast Viability
S000004059	YLR069C	S. cerevisiae	MEF1	Mitochondrial Elongation Factor
S000004060	YLR070C	S. cerevisiae	XYL2	
S000004061	YLR071C	S. cerevisiae	RGR1	Resistant to Glucose Repression
S000004062	YLR072W	S. cerevisiae	LAM6	Lipid transfer protein Anchored at Membrane contact site
S000004063	YLR073C	S. cerevisiae	RFU1	Regulator of Free Ubiquitin chains
S000004064	YLR074C	S. cerevisiae	BUD20	BUD site selection
S000004065	YLR075W	S. cerevisiae	RPL10	Ribosomal Protein of the Large subunit
S000004067	YLR077W	S. cerevisiae	FMP25	Found in Mitochondrial Proteome
S000004068	YLR078C	S. cerevisiae	BOS1	Bet One Suppressor
S000004071	YLR081W	S. cerevisiae	GAL2	GALactose metabolism
S000004073	YLR083C	S. cerevisiae	EMP70	
S000004074	YLR084C	S. cerevisiae	RAX2	
S000004075	YLR085C	S. cerevisiae	ARP6	Actin-Related Protein
S000004076	YLR086W	S. cerevisiae	SMC4	Structural Maintenance of Chromosomes
S000004077	YLR087C	S. cerevisiae	CSF1	Cold Sensitive for Fermentation
S000004078	YLR088W	S. cerevisiae	GAA1	GPI Anchor Attachment
S000004079	YLR089C	S. cerevisiae	ALT1	ALanine Transaminase
S000004080	YLR090W	S. cerevisiae	XDJ1	
S000004082	YLR092W	S. cerevisiae	SUL2	SULfate
S000004083	YLR093C	S. cerevisiae	NYV1	New Yeast V-SNARE
S000004086	YLR096W	S. cerevisiae	KIN2	KINase
S000004087	YLR097C	S. cerevisiae	HRT3	High level expression Reduces Ty3 transposition
S000004088	YLR098C	S. cerevisiae	CHA4	Catabolism of Hydroxy Amino acids
S000004089	YLR099C	S. cerevisiae	ICT1	Increased Copper Tolerance
S000004090	YLR100W	S. cerevisiae	ERG27	ERGosterol biosynthesis
S000004093	YLR103C	S. cerevisiae	CDC45	Cell Division Cycle
S000004094	YLR104W	S. cerevisiae	LCL2	Long Chronological Lifespan 2
S000004095	YLR105C	S. cerevisiae	SEN2	Splicing ENdonuclease
S000004096	YLR106C	S. cerevisiae	REA1	Ribosome Export/Assembly
S000004097	YLR107W	S. cerevisiae	REX3	Rna EXonuclease
S000004098	YLR108C	S. cerevisiae		
S000004099	YLR109W	S. cerevisiae	AHP1	Alkyl HydroPeroxide reductase
S000004103	YLR113W	S. cerevisiae	HOG1	High Osmolarity Glycerol response
S000004104	YLR114C	S. cerevisiae	AVL9	Apl2 Vps1 Lethal
S000004105	YLR115W	S. cerevisiae	CFT2	Cleavage Factor Two
S000004106	YLR116W	S. cerevisiae	MSL5	Mud Synthetic-Lethal
S000004107	YLR117C	S. cerevisiae	CLF1	Crooked neck-Like Factor
S000004108	YLR118C	S. cerevisiae	TML25	acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa
S000004109	YLR119W	S. cerevisiae	SRN2	Suppressor of Rna mutations, Number 2
S000004110	YLR120C	S. cerevisiae	YPS1	YaPSin
S000004111	YLR121C	S. cerevisiae	YPS3	YaPSin
S000004116	YLR126C	S. cerevisiae		
S000004117	YLR127C	S. cerevisiae	APC2	Anaphase Promoting Complex
S000004118	YLR128W	S. cerevisiae	DCN1	Defective in Cullin Neddylation
S000004119	YLR129W	S. cerevisiae	DIP2	DOM34 Interacting Protein
S000004120	YLR130C	S. cerevisiae	ZRT2	Zinc-Regulated Transporter
S000004122	YLR132C	S. cerevisiae	USB1	U Six Biogenesis
S000004123	YLR133W	S. cerevisiae	CKI1	Choline KInase
S000004124	YLR134W	S. cerevisiae	PDC5	Pyruvate DeCarboxylase
S000004127	YLR137W	S. cerevisiae	RKM5	Ribosomal lysine (K) Methyltransferase 5
S000004128	YLR138W	S. cerevisiae	NHA1	Na+/H+ Antiporter
S000004132	YLR142W	S. cerevisiae	PUT1	Proline UTilization
S000004133	YLR143W	S. cerevisiae	DPH6	DiPHthamide biosynthesis
S000004134	YLR144C	S. cerevisiae	ACF2	Assembly Complementing Factor
S000004135	YLR145W	S. cerevisiae	RMP1	RNase MRP Protein
S000004136	YLR146C	S. cerevisiae	SPE4	SPErmidine auxotroph
S000004137	YLR147C	S. cerevisiae	SMD3	
S000004138	YLR148W	S. cerevisiae	PEP3	carboxyPEPtidase Y-deficient
S000004139	YLR149C	S. cerevisiae	GID11	Glucose Induced Degradation deficient
S000004140	YLR150W	S. cerevisiae	STM1	Suppressor of ToM1
S000004141	YLR151C	S. cerevisiae	PCD1	Peroxisomal Coenzyme A Diphosphatase
S000004142	YLR152C	S. cerevisiae		
S000004143	YLR153C	S. cerevisiae	ACS2	Acetyl CoA Synthetase
S000004153	YLR163C	S. cerevisiae	MAS1	Mitochondrial ASsembly
S000004154	YLR164W	S. cerevisiae	SHH4	SDH4 Homolog
S000004155	YLR165C	S. cerevisiae	PUS5	PseudoUridine Synthase
S000004156	YLR166C	S. cerevisiae	SEC10	SECretory
S000004157	YLR167W	S. cerevisiae	RPS31	Ribosomal Protein of the Small subunit
S000004158	YLR168C	S. cerevisiae	UPS2	UnProceSsed
S000004160	YLR170C	S. cerevisiae	APS1	clathrin Associated Protein complex Small subunit
S000004162	YLR172C	S. cerevisiae	DPH5	DiPHthamide
S000004164	YLR174W	S. cerevisiae	IDP2	Isocitrate Dehydrogenase, NADP-specific
S000004165	YLR175W	S. cerevisiae	CBF5	Centromere Binding Factor
S000004167	YLR177W	S. cerevisiae		
S000004168	YLR178C	S. cerevisiae	TFS1	cdc Twenty-Five Suppressor
S000004169	YLR179C	S. cerevisiae		
S000004170	YLR180W	S. cerevisiae	SAM1	S-AdenosylMethionine requiring
S000004172	YLR182W	S. cerevisiae	SWI6	SWItching deficient
S000004175	YLR185W	S. cerevisiae	RPL37A	Ribosomal Protein of the Large subunit
S000004176	YLR186W	S. cerevisiae	EMG1	Essential for Mitotic Growth
S000004177	YLR187W	S. cerevisiae	SKG3	Suppressor of lethality of Kex2 Gas1 double null mutant
S000004178	YLR188W	S. cerevisiae	MDL1	MultiDrug resistance-Like
S000004179	YLR189C	S. cerevisiae	ATG26	AuTophaGy related
S000004181	YLR191W	S. cerevisiae	PEX13	PEroXin
S000004182	YLR192C	S. cerevisiae	HCR1	High-Copy suppressor of Rpg1
S000004183	YLR193C	S. cerevisiae	UPS1	UnProceSsed
S000004185	YLR195C	S. cerevisiae	NMT1	N-Myristoyl Transferase
S000004186	YLR196W	S. cerevisiae	PWP1	Periodic tryptophan (W) Protein
S000004187	YLR197W	S. cerevisiae	NOP56	NucleOlar Protein of 56.8 kDa
S000004190	YLR200W	S. cerevisiae	YKE2	Yeast ortholog of mouse KE2
S000004191	YLR201C	S. cerevisiae	COQ9	COenzyme Q
S000004193	YLR203C	S. cerevisiae	MSS51	Mitochondrial Splicing Suppressor
S000004195	YLR205C	S. cerevisiae	HMX1	HeMe oXygenase
S000004196	YLR206W	S. cerevisiae	ENT2	Epsin N-Terminal homology
S000004197	YLR207W	S. cerevisiae	HRD3	HMG-coA Reductase Degradation
S000004198	YLR208W	S. cerevisiae	SEC13	SECretory
S000004199	YLR209C	S. cerevisiae	PNP1	purine nucleoside phosphorylase
S000004200	YLR210W	S. cerevisiae	CLB4	CycLin B
S000004202	YLR212C	S. cerevisiae	TUB4	TUBulin
S000004203	YLR213C	S. cerevisiae	CRR1	CRH-Related
S000004204	YLR214W	S. cerevisiae	FRE1	Ferric REductase
S000004205	YLR215C	S. cerevisiae	CDC123	Cell Division Cycle
S000004206	YLR216C	S. cerevisiae	CPR6	Cyclosporin-sensitive Proline Rotamase
S000004210	YLR220W	S. cerevisiae	CCC1	Cross-Complements Ca(2+) phenotype of csg1
S000004211	YLR221C	S. cerevisiae	RSA3	RiboSome Assembly
S000004212	YLR222C	S. cerevisiae	UTP13	U Three Protein
S000004215	YLR225C	S. cerevisiae		
S000004216	YLR226W	S. cerevisiae	BUR2	Bypass UAS Requirement
S000004218	YLR228C	S. cerevisiae	ECM22	ExtraCellular Mutant
S000004219	YLR229C	S. cerevisiae	CDC42	Cell Division Cycle
S000004221	YLR231C	S. cerevisiae	BNA5	Biosynthesis of Nicotinic Acid
S000004224	YLR234W	S. cerevisiae	TOP3	TOPoisomerase
S000004227	YLR237W	S. cerevisiae	THI7	THIamine metabolism
S000004228	YLR238W	S. cerevisiae	FAR10	Factor ARrest
S000004229	YLR239C	S. cerevisiae	LIP2	LIPoyl ligase
S000004230	YLR240W	S. cerevisiae	VPS34	Vacuolar Protein Sorting
S000004231	YLR241W	S. cerevisiae	CSC1	Calcium permeable Stress-gated cation Channel
S000004232	YLR242C	S. cerevisiae	ARV1	ARE2 Required for Viability
S000004233	YLR243W	S. cerevisiae	GPN3	Gly-Pro-Asn (N) motif
S000004234	YLR244C	S. cerevisiae	MAP1	Methionine AminoPeptidase
S000004235	YLR245C	S. cerevisiae	CDD1	CytiDine Deaminase
S000004236	YLR246W	S. cerevisiae	ERF2	Effect on Ras Function
S000004237	YLR247C	S. cerevisiae	IRC20	Increased Recombination Centers
S000004238	YLR248W	S. cerevisiae	RCK2	Radiation sensitivity Complementing Kinase
S000004239	YLR249W	S. cerevisiae	YEF3	Yeast Elongation Factor
S000004241	YLR251W	S. cerevisiae	SYM1	Stress-inducible Yeast Mpv17
S000004243	YLR253W	S. cerevisiae	CQD2	CoQ Distribution
S000004248	YLR258W	S. cerevisiae	GSY2	Glycogen SYnthase
S000004249	YLR259C	S. cerevisiae	HSP60	Heat Shock Protein
S000004250	YLR260W	S. cerevisiae	LCB5	Long-Chain Base
S000004252	YLR262C	S. cerevisiae	YPT6	Yeast Protein Two
S000004254	YLR264W	S. cerevisiae	RPS28B	Ribosomal Protein of the Small subunit
S000004258	YLR268W	S. cerevisiae	SEC22	SECretory
S000004260	YLR270W	S. cerevisiae	DCS1	DeCapping Scavenger
S000004262	YLR272C	S. cerevisiae	YCS4	Yeast Condensin Subunit
S000004264	YLR274W	S. cerevisiae	MCM5	MiniChromosome Maintenance
S000004265	YLR275W	S. cerevisiae	SMD2	
S000004266	YLR276C	S. cerevisiae	DBP9	Dead Box Protein
S000004267	YLR277C	S. cerevisiae	YSH1	Yeast Seventy-three Homolog
S000004268	YLR278C	S. cerevisiae		
S000004271	YLR281C	S. cerevisiae	RSO55	mitochondrial protein Related to Spastic paraplegia with Optic atrophy and neuropathy SPG55
S000004273	YLR283W	S. cerevisiae	PUT7	Proline UTilization
S000004274	YLR284C	S. cerevisiae	ECI1	Enoyl-CoA Isomerase
S000004275	YLR285W	S. cerevisiae	NNT1	Nicotinamide N-methylTransferase
S000004276	YLR286C	S. cerevisiae	CTS1	ChiTinaSe
S000004278	YLR287C-A	S. cerevisiae	RPS30A	Ribosomal Protein of the Small subunit
S000004280	YLR289W	S. cerevisiae	GUF1	Gtpase of Unknown Function
S000004281	YLR290C	S. cerevisiae	COQ11	COenzyme Q
S000004282	YLR291C	S. cerevisiae	GCD7	General Control Derepressed
S000004283	YLR292C	S. cerevisiae	SEC72	SECretory
S000004284	YLR293C	S. cerevisiae	GSP1	Genetic Suppressor of Prp20-1
S000004286	YLR295C	S. cerevisiae	ATP14	ATP synthase
S000004290	YLR299W	S. cerevisiae	ECM38	ExtraCellular Mutant
S000004291	YLR300W	S. cerevisiae	EXG1	EXo-1,3-beta-Glucanase
S000004294	YLR303W	S. cerevisiae	MET17	METhionine requiring
S000004295	YLR304C	S. cerevisiae	ACO1	ACOnitase
S000004296	YLR305C	S. cerevisiae	STT4	STaurosporine and Temperature sensitive
S000004297	YLR306W	S. cerevisiae	UBC12	UBiquitin-Conjugating
S000004298	YLR307W	S. cerevisiae	CDA1	Chitin DeAcetylase
S000004299	YLR308W	S. cerevisiae	CDA2	Chitin DeAcetylase
S000004300	YLR309C	S. cerevisiae	IMH1	shares with Integrins and Myosins significant Homology
S000004301	YLR310C	S. cerevisiae	CDC25	Cell Division Cycle
S000004304	YLR312W-A	S. cerevisiae	MRPL15	Mitochondrial Ribosomal Protein, Large subunit
S000004306	YLR314C	S. cerevisiae	CDC3	Cell Division Cycle
S000004308	YLR316C	S. cerevisiae	TAD3	tRNA-specific Adenosine Deaminase
S000004310	YLR318W	S. cerevisiae	EST2	Ever Shorter Telomeres
S000004311	YLR319C	S. cerevisiae	BUD6	BUD site selection
S000004313	YLR321C	S. cerevisiae	SFH1	Snf Five Homolog
S000004315	YLR323C	S. cerevisiae	CWC24	Complexed With Cef1p
S000004316	YLR324W	S. cerevisiae	PEX30	PEroXisome related
S000004317	YLR325C	S. cerevisiae	RPL38	Ribosomal Protein of the Large subunit
S000004318	YLR326W	S. cerevisiae		
S000004319	YLR327C	S. cerevisiae	TMA10	Translation Machinery Associated
S000004320	YLR328W	S. cerevisiae	NMA1	Nicotinamide Mononucleotide Adenylyltransferase
S000004322	YLR330W	S. cerevisiae	CHS5	CHitin Synthase-related
S000004325	YLR333C	S. cerevisiae	RPS25B	Ribosomal Protein of the Small subunit
S000004327	YLR335W	S. cerevisiae	NUP2	NUclear Pore
S000004328	YLR336C	S. cerevisiae	SGD1	Suppressor of Glycerol Defect
S000004332	YLR340W	S. cerevisiae	RPP0	Ribosomal Protein P0
S000004334	YLR342W	S. cerevisiae	FKS1	FK506 Sensitivity
S000004335	YLR343W	S. cerevisiae	GAS2	Glycophospholipid-Anchored Surface protein
S000004336	YLR344W	S. cerevisiae	RPL26A	Ribosomal Protein of the Large subunit
S000004337	YLR345W	S. cerevisiae		
S000004339	YLR347C	S. cerevisiae	KAP95	KAryoPherin
S000004340	YLR348C	S. cerevisiae	DIC1	DIcarboxylate Carrier
S000004342	YLR350W	S. cerevisiae	ORM2	
S000004343	YLR351C	S. cerevisiae	NIT3	NITrilase superfamily
S000004344	YLR352W	S. cerevisiae	LUG1	Lets [URE3]/ure2 Grow
S000004346	YLR354C	S. cerevisiae	TAL1	TransALdolase
S000004347	YLR355C	S. cerevisiae	ILV5	IsoLeucine-plus-Valine requiring
S000004348	YLR356W	S. cerevisiae	ATG33	AuTophaGy related
